Group,Code,Title,Description,요구사항 코드,비고,H-Cloud 수신,H-Cloud 송신,자체처리
공통,COM_001,일별 데이터 조회,"일자별 데이터 조회 (일자, 월, 연, 사용자 지정 기간, 전체기간 조회)",SFR-116,,시간별 소비/발전 실적,,
,COM_002,시간대별 데이터 조회,특정일 조회 시 시간대별 데이터 조회,SFR-116,,시간별 소비/발전 실적,,
,COM_003,공통 수치·0값·반올림·표현 규칙,모든 수치 데이터에 대해 동일한 계산·반올림·0값·표현 규칙을 적용,,,,,
,COM_004,데이터 업데이트 주기,"1분 이내로 목표. 
- HW 사양 이슈로 목표 달성 불가능 할 경우, HW 데이터 업데이트 주기",,,,,
,COM_005,기상 정보 전달,"gfs 기반으로 기상정보 전달
- 대상 지역 : 한국, 미국(캘리포니아) ",,,,,
,COM_006,태양광 예측 알고리즘,기상정보를 활용한 태양광 예측 알고리즘,,,,,
회원,APP_MEM_001,현재 접속계정 노출,"현재 접속된 계정정보 노출
- 계정명, 아이디, 데이터셋, 거주지역",,,,,
,APP_MEM_002,계정별 로그인 / 로그아웃,"계정 중 1개를 선택해서 로그인
- 아이디, 비밀번호로 로그인
마이페이지에서 로그아웃
앱에서 로그인 후 별도 이슈없다면 세션 유지. 동시 로그인도 가능",,,,,60Hz 자체 처리 (인증/계정 관리)
실시간 데이터,NOW_001,현재 모드 표현,"현재 설정(작동) 모드
- 모드에 따른 안내사항 제공","SFR-302
SFR-303
SFR-402
SFR-403
SFR-404
SFR-411
SFR-412
SFR-413",,현재 적용 모드,,
,NOW_002,현재 상태 및 마지막 업데이트 일시,"각 상태를 바탕으로 계정의 상태 표시 (정상, 주위, 위험)
마지막 업데이트 일시 : 해당 계정의 다양한 항목 중 가장 마지막 업데이트 된 항목 일시",,,,,60Hz 자체 처리 (수신 시점 기록)
,NOW_003,현재 날씨 노출,선택한 지역의 날씨정보 제공,SFR-117,,,,60Hz 자체 처리 (기상청 API 연동)
,NOW_004,기상악화 대비모드 사용 필요 안내,선택 지역의 기상 특보 API 활용하여 기상악화 대비모드 사용 or 해지 API,SFR-411,,Storm Watch 활성화 상태,,기상청 API + H-Cloud 이벤트
